index,object_class,object_name,occlusion,ambiguous,overlaps
119,Jever,Jever.001,not given,0,1
120,Fanta,Fanta.003,not given,0,2
121,RedBullZero,RedBullZero.002,not given,0,1
122,MakoEnergy,MakoEnergy.002,not given,0,1
123,Jever,Jever.001,not given,0,0
124,Fanta,Fanta.003,not given,0,2
125,RedBullZero,RedBullZero.002,not given,0,1
126,MakoEnergy,MakoEnergy.002,not given,0,1
127,Jever,Jever.001,not given,0,0
128,Fanta,Fanta.003,not given,0,2
129,RedBullZero,RedBullZero.002,not given,0,1
130,MakoEnergy,MakoEnergy.002,not given,0,1
131,Jever,Jever.001,not given,0,0
132,Fanta,Fanta.003,not given,0,2
133,RedBullZero,RedBullZero.002,not given,0,1
134,MakoEnergy,MakoEnergy.002,not given,0,1
135,Jever,Jever.001,not given,0,0
136,Fanta,Fanta.003,not given,0,2
137,RedBullZero,RedBullZero.002,not given,0,1
138,MakoEnergy,MakoEnergy.002,not given,0,1
139,Jever,Jever.001,not given,0,0
140,Fanta,Fanta.003,not given,0,2
141,RedBullZero,RedBullZero.002,not given,0,1
142,MakoEnergy,MakoEnergy.002,not given,0,0
143,Jever,Jever.001,not given,0,1
144,Fanta,Fanta.003,not given,0,2
145,RedBullZero,RedBullZero.002,not given,0,0
146,RedBull,RedBull.001,not given,0,1
147,MakoEnergy,MakoEnergy.002,not given,0,0
148,Jever,Jever.001,not given,0,1
149,Fanta,Fanta.003,not given,0,2
150,RedBullZero,RedBullZero.002,not given,0,0
151,RedBull,RedBull.001,not given,0,1
152,MakoEnergy,MakoEnergy.002,not given,0,1
153,Jever,Jever.001,not given,0,1
154,Fanta,Fanta.003,not given,0,2
155,RedBullZero,RedBullZero.002,not given,0,0
156,RedBull,RedBull.001,not given,0,1
157,MakoEnergy,MakoEnergy.002,not given,0,1
158,Jever,Jever.001,not given,0,1
159,Fanta,Fanta.003,not given,0,2
160,RedBullZero,RedBullZero.002,not given,0,0
161,RedBull,RedBull.001,not given,0,1
162,MakoEnergy,MakoEnergy.002,not given,0,1
163,Jever,Jever.001,not given,0,1
164,Fanta,Fanta.003,not given,0,1
165,RedBullZero,RedBullZero.002,not given,0,1
166,RedBull,RedBull.001,not given,0,1
167,MakoEnergy,MakoEnergy.002,not given,0,1
168,Jever,Jever.001,not given,0,1
169,RedBullZero,RedBullZero.002,not given,0,2
170,RedBull,RedBull.001,not given,0,1
171,MakoEnergy,MakoEnergy.002,not given,0,1
172,Jever,Jever.001,not given,0,1
173,RedBullZero,RedBullZero.002,not given,0,2
174,RedBull,RedBull.001,not given,0,1
175,MakoEnergy,MakoEnergy.002,not given,0,1
176,Jever,Jever.001,not given,0,0
177,RedBullZero,RedBullZero.002,not given,0,2
178,RedBull,RedBull.001,not given,0,0
179,MakoEnergy,MakoEnergy.002,not given,0,1
180,Jever,Jever.001,not given,0,0
181,RedBullZero,RedBullZero.002,not given,0,2
182,RedBull,RedBull.001,not given,0,0
183,MakoEnergy,MakoEnergy.002,not given,0,0
184,Jever,Jever.001,not given,0,0
185,RedBullZero,RedBullZero.002,not given,0,2
186,RedBull,RedBull.001,not given,0,0
187,MakoEnergy,MakoEnergy.002,not given,0,0
188,Jever,Jever.001,not given,0,0
189,RedBull,RedBull.001,not given,0,0
190,MakoEnergy,MakoEnergy.002,not given,0,0
191,Jever,Jever.001,not given,0,0
192,RedBull,RedBull.001,not given,0,0
193,MakoEnergy,MakoEnergy.002,not given,0,0
194,Jever,Jever.001,not given,0,1
195,RedBull,RedBull.001,not given,0,0
196,MakoEnergy,MakoEnergy.002,not given,0,0
197,Jever,Jever.001,not given,0,1
198,RedBull,RedBull.001,not given,0,0
199,MakoEnergy,MakoEnergy.002,not given,0,0
200,Jever,Jever.001,not given,0,1
201,RedBull,RedBull.001,not given,0,1
202,MakoEnergy,MakoEnergy.002,not given,0,0
203,Jever,Jever.001,not given,0,1
204,RedBull,RedBull.001,not given,0,1
205,MakoEnergy,MakoEnergy.002,not given,0,1
206,Jever,Jever.001,not given,0,1
207,RedBull,RedBull.001,not given,0,1
208,MakoEnergy,MakoEnergy.002,not given,0,1
209,Jever,Jever.001,not given,0,1
210,RedBull,RedBull.001,not given,0,1
211,MakoEnergy,MakoEnergy.002,not given,0,1
212,Krombacher,Krombacher,not given,0,0
213,Jever,Jever.001,not given,0,1
214,RedBull,RedBull.001,not given,0,1
215,MakoEnergy,MakoEnergy.002,not given,0,1
216,Krombacher,Krombacher,not given,0,0
217,Jever,Jever.001,not given,0,1
218,RedBull,RedBull.001,not given,0,1
219,MakoEnergy,MakoEnergy.002,not given,0,1
220,Krombacher,Krombacher,not given,0,0
221,Jever,Jever.001,not given,0,1
222,RedBull,RedBull.001,not given,0,1
223,MakoEnergy,MakoEnergy.002,not given,0,1
224,Krombacher,Krombacher,not given,0,0
225,RedBull,RedBull.001,not given,0,1
226,MakoEnergy,MakoEnergy.002,not given,0,0
227,Krombacher,Krombacher,not given,0,0
228,RedBull,RedBull.001,not given,0,0
229,MakoEnergy,MakoEnergy.002,not given,0,0
230,Krombacher,Krombacher,not given,0,0
231,RedBull,RedBull.001,not given,0,0
232,MakoEnergy,MakoEnergy.002,not given,0,0
233,Krombacher,Krombacher,not given,0,0
234,RedBull,RedBull.001,not given,0,0
235,MakoEnergy,MakoEnergy.002,not given,0,0
236,Krombacher,Krombacher,not given,0,0
237,RedBull,RedBull.001,not given,0,0
238,MakoEnergy,MakoEnergy.002,not given,0,0
239,Krombacher,Krombacher,not given,0,0
240,RedBull,RedBull.001,not given,0,0
241,MakoEnergy,MakoEnergy.002,not given,0,1
242,Krombacher,Krombacher,not given,0,0
243,RedBull,RedBull.001,not given,0,1
244,MakoEnergy,MakoEnergy.002,not given,0,1
245,Krombacher,Krombacher,not given,0,0
246,RedBull,RedBull.001,not given,0,1
247,MakoEnergy,MakoEnergy.002,not given,0,1
248,Krombacher,Krombacher,not given,0,0
249,RedBull,RedBull.001,not given,0,1
250,WaterBottle,WaterBottle.002,not given,0,1
251,MakoEnergy,MakoEnergy.002,not given,0,1
252,Krombacher,Krombacher,not given,0,0
253,RedBull,RedBull.001,not given,0,1
254,WaterBottle,WaterBottle.002,not given,0,2
255,MakoEnergy,MakoEnergy.002,not given,0,1
256,Krombacher,Krombacher,not given,0,1
257,RedBull,RedBull.001,not given,0,1
258,WaterBottle,WaterBottle.002,not given,0,2
259,MakoEnergy,MakoEnergy.002,not given,0,1
260,Krombacher,Krombacher,not given,0,1
261,RedBull,RedBull.001,not given,0,1
262,WaterBottle,WaterBottle.002,not given,0,2
263,MakoEnergy,MakoEnergy.002,not given,0,1
264,Krombacher,Krombacher,not given,0,1
265,RedBull,RedBull.001,not given,0,1
266,WaterBottle,WaterBottle.002,not given,0,2
267,Krombacher,Krombacher,not given,0,1
268,RedBull,RedBull.001,not given,0,1
269,WaterBottle,WaterBottle.002,not given,0,2
270,Krombacher,Krombacher,not given,0,1
271,RedBull,RedBull.001,not given,0,0
272,WaterBottle,WaterBottle.002,not given,0,1
273,Krombacher,Krombacher,not given,0,1
274,RedBull,RedBull.001,not given,0,0
275,WaterBottle,WaterBottle.002,not given,0,1
276,Krombacher,Krombacher,not given,0,1
277,RedBull,RedBull.001,not given,0,0
278,WaterBottle,WaterBottle.002,not given,0,1
279,Krombacher,Krombacher,not given,0,0
280,RedBull,RedBull.001,not given,0,0
281,WaterBottle,WaterBottle.002,not given,0,1
282,Krombacher,Krombacher,not given,0,0
283,RedBull,RedBull.001,not given,0,0
284,WaterBottle,WaterBottle.002,not given,0,1
285,Krombacher,Krombacher,not given,0,0
286,RedBull,RedBull.001,not given,0,1
287,WaterBottle,WaterBottle.002,not given,0,1
288,Krombacher,Krombacher,not given,0,0
289,RedBull,RedBull.001,not given,0,1
290,WaterBottle,WaterBottle.002,not given,0,0
291,Krombacher,Krombacher,not given,0,0
292,RedBull,RedBull.001,not given,0,1
293,WaterBottle,WaterBottle.002,not given,0,0
294,Krombacher,Krombacher,not given,0,1
295,RedBull,RedBull.001,not given,0,1
296,WaterBottle,WaterBottle.002,not given,0,0
297,Krombacher,Krombacher,not given,0,1
298,RedBull,RedBull.001,not given,0,1
299,WaterBottle,WaterBottle.002,not given,0,0
300,Krombacher,Krombacher,not given,0,1
301,RedBull,RedBull.001,not given,0,1
302,WaterBottle,WaterBottle.002,not given,0,0
303,Krombacher,Krombacher,not given,0,1
304,RedBull,RedBull.001,not given,0,1
305,WaterBottle,WaterBottle.002,not given,0,0
306,Krombacher,Krombacher,not given,0,1
307,WaterBottle,WaterBottle.002,not given,0,0
308,Krombacher,Krombacher,not given,0,1
309,WaterBottle,WaterBottle.002,not given,0,0
310,Krombacher,Krombacher,not given,0,1
311,WaterBottle,WaterBottle.002,not given,0,0
312,Krombacher,Krombacher,not given,0,0
313,WaterBottle,WaterBottle.002,not given,0,0
314,Krombacher,Krombacher,not given,0,0
315,WaterBottle,WaterBottle.002,not given,0,0
316,Krombacher,Krombacher,not given,0,0
317,WaterBottle,WaterBottle.002,not given,0,0
318,Krombacher,Krombacher,not given,0,0
319,WaterBottle,WaterBottle.002,not given,0,0
320,Krombacher,Krombacher,not given,0,0
321,WaterBottle,WaterBottle.002,not given,0,0
322,Krombacher,Krombacher,not given,0,1
323,WaterBottle,WaterBottle.002,not given,0,0
324,Krombacher,Krombacher,not given,0,1
325,Coke,Coke,not given,0,2
326,WaterBottle,WaterBottle.002,not given,0,0
327,Krombacher,Krombacher,not given,0,1
328,Coke,Coke,not given,0,2
329,WaterBottle,WaterBottle.002,not given,0,1
330,Krombacher,Krombacher,not given,0,1
331,Coke,Coke,not given,0,2
332,WaterBottle,WaterBottle.002,not given,0,1
333,Krombacher,Krombacher,not given,0,1
334,Coke,Coke,not given,0,3
335,WaterBottle,WaterBottle.002,not given,0,1
336,Krombacher,Krombacher,not given,0,1
337,Coke,Coke,not given,0,3
338,WaterBottle,WaterBottle.002,not given,0,1
339,Coke,Coke,not given,0,3
340,WaterBottle,WaterBottle.002,not given,0,1
341,Coke,Coke,not given,0,3
342,WaterBottle,WaterBottle.002,not given,0,1
343,Fanta,Fanta,not given,0,2
344,Coke,Coke,not given,0,3
345,WaterBottle,WaterBottle.002,not given,0,1
346,Fanta,Fanta,not given,0,2
347,Coke,Coke,not given,0,3
348,WaterBottle,WaterBottle.002,not given,0,1
349,Fanta,Fanta,not given,0,2
350,Coke,Coke,not given,0,2
351,WaterBottle,WaterBottle.002,not given,0,1
352,Fanta,Fanta,not given,0,1
353,Coke,Coke,not given,0,2
354,WaterBottle,WaterBottle.002,not given,0,0
355,Fanta,Fanta,not given,0,1
356,CokeZero,CokeZero.003,not given,0,0
357,Coke,Coke,not given,0,2
358,WaterBottle,WaterBottle.002,not given,0,0
359,Fanta,Fanta,not given,0,2
360,CokeZero,CokeZero.003,not given,0,0
361,Coke,Coke,not given,0,2
362,WaterBottle,WaterBottle.002,not given,0,1
363,Fanta,Fanta,not given,0,2
364,CokeZero,CokeZero.003,not given,0,0
365,Coke,Coke,not given,0,1
366,WaterBottle,WaterBottle.002,not given,0,1
367,Fanta,Fanta,not given,0,2
368,CokeZero,CokeZero.003,not given,0,0
369,Coke,Coke,not given,0,1
370,WaterBottle,WaterBottle.002,not given,0,1
371,Fanta,Fanta,not given,0,2
372,CokeZero,CokeZero.003,not given,0,0
373,Coke,Coke,not given,0,2
374,WaterBottle,WaterBottle.002,not given,0,1
375,Fanta,Fanta,not given,0,2
376,CokeZero,CokeZero.003,not given,0,0
377,Coke,Coke,not given,0,2
378,WaterBottle,WaterBottle.002,not given,0,1
379,Fanta,Fanta,not given,0,2
380,CokeZero,CokeZero.003,not given,0,0
381,Coke,Coke,not given,0,1
382,WaterBottle,WaterBottle.002,not given,0,1
383,Fanta,Fanta,not given,0,2
384,CokeZero,CokeZero.003,not given,0,0
385,Coke,Coke,not given,0,1
386,WaterBottle,WaterBottle.002,not given,0,1
387,Fanta,Fanta,not given,0,2
388,CokeZero,CokeZero.003,not given,0,0
389,Coke,Coke,not given,0,1
390,Fanta,Fanta,not given,0,2
391,CokeZero,CokeZero.003,not given,0,0
392,Coke,Coke,not given,0,1
393,Fanta,Fanta,not given,0,2
394,CokeZero,CokeZero.003,not given,0,0
395,Coke,Coke,not given,0,1
396,Fanta,Fanta,not given,0,2
397,CokeZero,CokeZero.003,not given,0,0
398,Coke,Coke,not given,0,1
399,Fanta,Fanta,not given,0,2
400,CokeZero,CokeZero.003,not given,0,0
401,Coke,Coke,not given,0,1
402,Fanta,Fanta,not given,0,2
403,CokeZero,CokeZero.003,not given,0,0
404,Coke,Coke,not given,0,1
405,Fanta,Fanta,not given,0,3
406,CokeZero,CokeZero.003,not given,0,0
407,Coke,Coke,not given,0,1
408,Fanta,Fanta,not given,0,3
409,CokeZero,CokeZero.003,not given,0,0
410,Coke,Coke,not given,0,1
411,Fanta,Fanta,not given,0,3
412,CokeZero,CokeZero.003,not given,0,1
413,Coke,Coke,not given,0,1
414,Fanta,Fanta,not given,0,2
415,CokeZero,CokeZero.003,not given,0,1
416,Coke,Coke,not given,0,1
417,Fanta,Fanta,not given,0,2
418,CokeZero,CokeZero.003,not given,0,1
419,Coke,Coke,not given,0,1
420,Fanta,Fanta,not given,0,2
421,CokeZero,CokeZero.003,not given,0,2
422,Coke,Coke,not given,0,0
423,Fanta,Fanta,not given,0,2
424,CokeZero,CokeZero.003,not given,0,2
425,Coke,Coke,not given,0,1
426,Fanta,Fanta,not given,0,1
427,CokeZero,CokeZero.003,not given,0,2
428,Coke,Coke,not given,0,1
429,Fanta,Fanta,not given,0,2
430,CokeZero,CokeZero.003,not given,0,3
431,Coke,Coke,not given,0,1
432,RedBull,RedBull.004,not given,0,2
433,MakoEnergy,MakoEnergy.003,not given,0,1
434,Krombacher,Krombacher.001,not given,0,1
435,Jever,Jever.002,not given,0,1
436,RedBull,RedBull.004,not given,0,1
437,MakoEnergy,MakoEnergy.003,not given,0,1
438,Krombacher,Krombacher.001,not given,0,0
439,Jever,Jever.002,not given,0,1
440,RedBull,RedBull.004,not given,0,1
441,MakoEnergy,MakoEnergy.003,not given,0,1
442,Krombacher,Krombacher.001,not given,0,1
443,Jever,Jever.002,not given,0,1
444,RedBull,RedBull.004,not given,0,1
445,MakoEnergy,MakoEnergy.003,not given,0,2
446,Krombacher,Krombacher.001,not given,0,1
447,Jever,Jever.002,not given,0,1
448,RedBull,RedBull.004,not given,0,1
449,MakoEnergy,MakoEnergy.003,not given,0,1
450,Krombacher,Krombacher.001,not given,0,1
451,Jever,Jever.002,not given,0,1
452,RedBull,RedBull.004,not given,0,1
453,WaterBottle,WaterBottle.000,not given,0,1
454,MakoEnergy,MakoEnergy.003,not given,0,1
455,Krombacher,Krombacher.001,not given,0,1
456,Jever,Jever.002,not given,0,1
457,RedBull,RedBull.004,not given,0,1
458,WaterBottle,WaterBottle.000,not given,0,1
459,MakoEnergy,MakoEnergy.003,not given,0,1
460,Krombacher,Krombacher.001,not given,0,1
461,Jever,Jever.002,not given,0,0
462,RedBull,RedBull.004,not given,0,1
463,WaterBottle,WaterBottle.000,not given,0,1
464,MakoEnergy,MakoEnergy.003,not given,0,1
465,Krombacher,Krombacher.001,not given,0,1
466,Jever,Jever.002,not given,0,0
467,RedBull,RedBull.004,not given,0,1
468,WaterBottle,WaterBottle.000,not given,0,1
469,MakoEnergy,MakoEnergy.003,not given,0,1
470,Krombacher,Krombacher.001,not given,0,1
471,Jever,Jever.002,not given,0,0
472,RedBull,RedBull.004,not given,0,1
473,WaterBottle,WaterBottle.000,not given,0,1
474,MakoEnergy,MakoEnergy.003,not given,0,1
475,Krombacher,Krombacher.001,not given,0,1
476,Jever,Jever.002,not given,0,0
477,RedBull,RedBull.004,not given,0,0
478,WaterBottle,WaterBottle.000,not given,0,0
479,MakoEnergy,MakoEnergy.003,not given,0,0
480,Krombacher,Krombacher.001,not given,0,1
481,Jever,Jever.002,not given,0,0
482,RedBull,RedBull.004,not given,0,0
483,WaterBottle,WaterBottle.000,not given,0,0
484,MakoEnergy,MakoEnergy.003,not given,0,0
485,Krombacher,Krombacher.001,not given,0,1
486,Jever,Jever.002,not given,0,0
487,RedBull,RedBull.004,not given,0,0
488,WaterBottle,WaterBottle.000,not given,0,0
489,MakoEnergy,MakoEnergy.003,not given,0,0
490,Krombacher,Krombacher.001,not given,0,1
491,Jever,Jever.002,not given,0,1
492,RedBullZero,RedBullZero.006,not given,0,1
493,RedBull,RedBull.004,not given,0,0
494,WaterBottle,WaterBottle.000,not given,0,0
495,MakoEnergy,MakoEnergy.003,not given,0,1
496,Krombacher,Krombacher.001,not given,0,0
497,Jever,Jever.002,not given,0,1
498,RedBullZero,RedBullZero.006,not given,0,1
499,RedBull,RedBull.004,not given,0,0
500,WaterBottle,WaterBottle.000,not given,0,1
501,MakoEnergy,MakoEnergy.003,not given,0,1
502,Krombacher,Krombacher.001,not given,0,1
503,Jever,Jever.002,not given,0,1
504,RedBullZero,RedBullZero.006,not given,0,1
505,RedBull,RedBull.004,not given,0,0
506,WaterBottle,WaterBottle.000,not given,0,1
507,MakoEnergy,MakoEnergy.003,not given,0,1
508,Krombacher,Krombacher.001,not given,0,1
509,Jever,Jever.002,not given,0,1
510,RedBullZero,RedBullZero.006,not given,0,1
511,RedBull,RedBull.004,not given,0,0
512,WaterBottle,WaterBottle.000,not given,0,1
513,MakoEnergy,MakoEnergy.003,not given,0,1
514,Krombacher,Krombacher.001,not given,0,1
515,Jever,Jever.002,not given,0,1
516,RedBullZero,RedBullZero.006,not given,0,1
517,RedBull,RedBull.004,not given,0,0
518,WaterBottle,WaterBottle.000,not given,0,1
519,MakoEnergy,MakoEnergy.003,not given,0,1
520,Krombacher,Krombacher.001,not given,0,1
521,Jever,Jever.002,not given,0,1
522,RedBullZero,RedBullZero.006,not given,0,1
523,WaterBottle,WaterBottle.000,not given,0,1
524,MakoEnergy,MakoEnergy.003,not given,0,1
525,Krombacher,Krombacher.001,not given,0,1
526,Jever,Jever.002,not given,0,1
527,RedBullZero,RedBullZero.006,not given,0,1
528,WaterBottle,WaterBottle.000,not given,0,1
529,MakoEnergy,MakoEnergy.003,not given,0,1
530,Krombacher,Krombacher.001,not given,0,1
531,Jever,Jever.002,not given,0,1
532,RedBullZero,RedBullZero.006,not given,0,0
533,WaterBottle,WaterBottle.000,not given,0,1
534,MakoEnergy,MakoEnergy.003,not given,0,1
535,Krombacher,Krombacher.001,not given,0,1
536,Jever,Jever.002,not given,0,0
537,RedBullZero,RedBullZero.006,not given,0,0
538,WaterBottle,WaterBottle.000,not given,0,1
539,MakoEnergy,MakoEnergy.003,not given,0,1
540,Krombacher,Krombacher.001,not given,0,1
541,Jever,Jever.002,not given,0,0
542,RedBullZero,RedBullZero.006,not given,0,0
543,WaterBottle,WaterBottle.000,not given,0,1
544,MakoEnergy,MakoEnergy.003,not given,0,1
545,Krombacher,Krombacher.001,not given,0,1
546,Jever,Jever.002,not given,0,0
547,RedBullZero,RedBullZero.006,not given,0,0
548,WaterBottle,WaterBottle.000,not given,0,1
549,MakoEnergy,MakoEnergy.003,not given,0,1
550,Krombacher,Krombacher.001,not given,0,1
551,Jever,Jever.002,not given,0,1
552,RedBullZero,RedBullZero.006,not given,0,0
553,Fanta,Fanta.004,not given,0,1
554,MakoEnergy,MakoEnergy.003,not given,0,1
555,Krombacher,Krombacher.001,not given,0,1
556,Jever,Jever.002,not given,0,1
557,RedBullZero,RedBullZero.006,not given,0,1
558,Fanta,Fanta.004,not given,0,1
559,MakoEnergy,MakoEnergy.003,not given,0,1
560,Jever,Jever.002,not given,0,1
561,RedBullZero,RedBullZero.006,not given,0,1
562,Fanta,Fanta.004,not given,0,1
563,MakoEnergy,MakoEnergy.003,not given,0,1
564,Jever,Jever.002,not given,0,1
565,RedBullZero,RedBullZero.006,not given,0,1
566,Fanta,Fanta.004,not given,0,1
567,MakoEnergy,MakoEnergy.003,not given,0,1
568,Jever,Jever.002,not given,0,1
569,RedBullZero,RedBullZero.006,not given,0,1
570,Fanta,Fanta.004,not given,0,1
571,MakoEnergy,MakoEnergy.003,not given,0,1
572,Jever,Jever.002,not given,0,1
573,RedBullZero,RedBullZero.006,not given,0,1
574,Fanta,Fanta.004,not given,0,1
575,MakoEnergy,MakoEnergy.003,not given,0,1
576,Jever,Jever.002,not given,0,1
577,RedBullZero,RedBullZero.006,not given,0,1
578,Fanta,Fanta.004,not given,0,1
579,MakoEnergy,MakoEnergy.003,not given,0,0
580,Jever,Jever.002,not given,0,0
581,RedBullZero,RedBullZero.006,not given,0,0
582,Fanta,Fanta.004,not given,0,0
583,Jever,Jever.002,not given,0,1
584,RedBullZero,RedBullZero.006,not given,0,0
585,Fanta,Fanta.004,not given,0,0
586,Jever,Jever.002,not given,0,1
587,RedBullZero,RedBullZero.006,not given,0,0
588,Fanta,Fanta.004,not given,0,0
589,Jever,Jever.002,not given,0,1
590,RedBullZero,RedBullZero.006,not given,0,0
591,Fanta,Fanta.004,not given,0,0
592,Jever,Jever.002,not given,0,1
593,RedBullZero,RedBullZero.006,not given,0,0
594,Fanta,Fanta.004,not given,0,0
595,Jever,Jever.002,not given,0,1
596,RedBullZero,RedBullZero.006,not given,0,0
597,Fanta,Fanta.004,not given,0,1
598,Jever,Jever.002,not given,0,1
599,RedBullZero,RedBullZero.006,not given,0,1
600,Fanta,Fanta.004,not given,0,1
601,Jever,Jever.002,not given,0,1
602,RedBullZero,RedBullZero.006,not given,0,1
603,Fanta,Fanta.004,not given,0,1
604,Jever,Jever.002,not given,0,1
605,RedBullZero,RedBullZero.006,not given,0,1
606,Fanta,Fanta.004,not given,0,1
607,CokeZero,CokeZero.004,not given,0,1
608,Jever,Jever.002,not given,0,1
609,RedBullZero,RedBullZero.006,not given,0,1
610,Fanta,Fanta.004,not given,0,1
611,CokeZero,CokeZero.004,not given,0,1
612,Jever,Jever.002,not given,0,1
613,RedBullZero,RedBullZero.006,not given,0,1
614,Fanta,Fanta.004,not given,0,1
615,CokeZero,CokeZero.004,not given,0,1
616,Jever,Jever.002,not given,0,0
617,RedBullZero,RedBullZero.006,not given,0,1
618,Fanta,Fanta.004,not given,0,1
619,CokeZero,CokeZero.004,not given,0,1
620,Jever,Jever.002,not given,0,1
621,RedBullZero,RedBullZero.006,not given,0,1
622,Fanta,Fanta.004,not given,0,1
623,CokeZero,CokeZero.004,not given,0,1
624,Jever,Jever.002,not given,0,1
625,RedBullZero,RedBullZero.006,not given,0,0
626,Fanta,Fanta.004,not given,0,1
627,CokeZero,CokeZero.004,not given,0,1
628,Jever,Jever.002,not given,0,1
629,RedBullZero,RedBullZero.006,not given,0,1
